,w,c
989,matanajwadebatjakarta,1
990,kejut,1
991,anaktangsel,1
992,ngintip,1
993,cawagub,1
994,cun,1
995,yangg,1
996,sera,1
997,kandang,1
998,tuduh,1
999,provokatif,1
1000,pilkada,1
1001,sd,1
1002,thn,1
1003,rekam,1
1004,zaman,1
1005,ahokharusdipenjara,1
1006,terbuktiteruji,1
1007,ellu,1
1008,putar,1
1009,fon,1
1010,cagub,1
1011,kagak,1
1012,harta,1
1013,domba,1
1014,adu,1
1015,imbang,1
1016,diskusi,1
1017,nyetel,1
1018,polisi,1
1019,ahokdjarotdirosi,1
1020,diulangulang,1
1021,reputasi,1
1022,integritas,1
1023,jk,1
1024,ngotorin,1
1025,melayu,1
1026,kp,1
1027,bom,1
1028,lari,1
1029,kilat,1
1030,segitunya,1
1031,sederhana,1
1032,iblis,1
1033,masakan,1
1034,chanel,1
1035,nazarudin,1
1036,inul,1
1037,pancasila,1
1038,pojok,1
1039,ngebor,1
1040,bantai,1
1041,anggota,1
1042,fz,1
1043,pecunpengalaman,1
1044,kemarin,1
1045,bataldebatkarena,1
1046,racun,1
1047,puji,1
1048,gali,1
1049,garingkalah,1
1050,ludah,1
1051,pilgub,1
1052,bravo,1
1053,dicontreng,1
1054,petinggi,1
1055,haram,1
1056,fatwa,1
1057,topik,1
1058,ngadu,1
1059,diapaapain,1
1060,engga,1
1061,gaul,1
1062,simpan,1
1063,skor,1
1064,sendri,1
1065,bobrok,1
1066,sumber,1
1067,kamfungan,1
1068,karnii,1
1069,kisruh,1
1070,jarak,1
1071,musuhudh,1
1072,tres,1
1073,darar,1
1074,kliatan,1
1075,hotmansutapea,1
1076,liar,1
1077,omong,1
1078,tarik,1
1079,pungut,1
1080,sangka,1
1081,mencak,1
1082,kalee,1
1083,folowers,1
1084,duga,1
1085,mayoritas,1
1086,berbelitbelit,1
1087,muter,1
1088,kecuali,1
1089,minceeee,1
1090,tabu,1
1091,eneg,1
1092,rizieq,1
1093,dusta,1
1094,lai,1
1095,busyro,1
1096,dpn,1
1097,mgkn,1
1098,dmana,1
1099,mabok,1
1100,muqoddas,1
1101,helooow,1
1102,libat,1
1103,minoritas,1
1104,bayangin,1
1105,giniotaknya,1
1106,ngamukhidup,1
1107,metromini,1
1108,lembaga,1
1109,ridwan,1
1110,materi,1
1111,comal,1
1112,jembatan,1
1113,pssi,1
1114,petir,1
1115,kerjan,1
1116,sepakbolamiliksiapa,1
1117,ahhh,1
1118,laut,1
1119,kunjung,1
1120,jajah,1
1121,sepakbola,1
1122,manggut,1
1123,atur,1
1124,nana,1
1125,mbk,1
1126,pants,1
1127,ngk,1
1128,ngeselin,1
1129,betina,1
1130,akibatya,1
1131,rayap,1
1132,bukanorg,1
1133,macet,1
1134,kokoh,1
1135,mendongrak,1
1136,putryvanvan,1
1137,boediono,1
1138,robek,1
1139,celana,1
1140,metronome,1
1141,banya,1
1142,hotel,1
1143,langgar,1
1144,staff,1
1145,bajusama,1
1146,diketawain,1
1147,wapresnya,1
1148,rimba,1
1149,anehhh,1
1150,putra,1
1151,seragam,1
1152,dingin,1
1153,posisi,1
1154,ketat,1
1155,lia,1
1156,pokok,1
1157,gimbal,1
1158,pejuangtangguh,1
1159,gelap,1
1160,umpat,1
1161,lilin,1
1162,nyala,1
1163,pidana,1
1164,gracialia,1
1165,deportasi,1
1166,padang,1
1167,geram,1
1168,wna,1
1169,akhlaq,1
1170,sekian,1
1171,dek,1
1172,gunung,1
1173,oknum,1
1174,stop,1
1175,mengatasnama,1
1176,sampan,1
1177,pasir,1
1178,dcekal,1
1179,shinta,1
1180,mua,1
1181,mampir,1
