key,label,frequency
jdi,1,2
pembntuny,1,1
gapapala,1,1
ktny,1,1
pgn,1,2
ktmu,1,1
dijambi,1,1
tenang,1,2
jalanin,1,1
andah,1,1
mu,1,4
pacar,1,2
persik,1,1
ganti,1,3
bella,1,4
fokus,1,1
model,1,1
diceramahin,1,1
netizen,1,1
normal,1,2
romantisme,1,1
umbar,1,2
mesra,1,1
iti,1,1
tutup,1,3
naksir,1,1
cewek,1,1
kyanya,1,1
bolu,1,1
cewex,1,1
cntik,1,1
cowox,1,1
mmmmhh,1,1
hehe,1,3
cewenya,1,2
power,1,1
emran,1,2
engku,1,1
anteng,1,1
nyanyang,1,1
cute,1,1
baper,1,1
dech,1,1
manis,1,2
kmrn,1,2
lbh,1,6
lakik,1,1
ciwik,1,1
lho,1,2
sma,1,1
mh,1,2
malu,1,2
cantiikk,1,1
bangett,1,1
angguunn,1,1
euum,1,1
tuju,1,6
sekaliii,1,1
emang,1,5
wow,1,2
pelihara,1,1
cantiik,1,1
maudy,1,1
kusnaedi,1,1
jevin,1,12
radhini,1,5
jalan,1,6
ngikutin,1,1
nonton,1,59
live,1,4
remix,1,3
nunjuk,1,1
nntn,1,3
luk,1,1
erat,1,1
backstage,1,1
stlh,1,1
lolos,1,1
final,1,2
gentle,1,1
tulus,1,1
maha,1,1
pembolakbalik,1,1
mei,1,4
pcrn,1,3
sept,1,1
dipasangin,1,1
des,1,1
jan,1,1
feb,1,2
april,1,2
ngelamar,1,1
tunang,1,1
works,1,1
many,1,1
ways,1,1
plan,1,2
better,1,1
dulunya,1,1
berfikiran,1,1
sangka,1,2
ngajakin,1,1
ah,1,2
wedding,1,1
soundwave,1,1
arti,1,3
batin,1,1
pingkan,1,1
bindeng,1,1
cir,1,1
khas,1,1
merem,1,2
denger,1,2
tauk,1,1
mbaa,1,2
luarbiasanya,1,1
ajah,1,2
cobaa,1,1
sebutin,1,1
heternya,1,1
duhh,1,1
sifatnyaaaaaaaaaaa,1,1
alhamdulillahhh,1,1
ngepost,1,1
ayangnya,1,1
ibel,1,3
biarin,1,1
damai,1,3
isi,1,4
pho,1,1
b,1,1
day,1,1
kakak,1,2
murid,1,1
msh,1,5
ngajar,1,1
mihil,1,1
ramah,1,3
sepupu,1,1
uang,1,1
masuk,1,7
jtan,1,1
siswa,1,1
g,1,22
brp,1,1
sholehah,1,1
hasil,1,10
bela,1,2
agama,1,3
raya,1,1
nikahin,1,1
duh,1,1
geulis,1,1
kitu,1,1
duuuhhhh,1,1
teeeh,1,1
ameeel,1,1
bank,1,1
amel,1,2
tenteng,1,1
hihiii,1,1
nanya,1,1
amelnya,1,1
pindah,1,4
annabel,1,1
positif,1,1
oma,1,2
nan,1,1
cerai,1,1
doa,1,5
ibadah,1,2
heheu,1,1
alesha,1,1
nama,1,1
aamiin,1,3
yra,1,1
nak,1,1
bsok,1,1
bangun,1,1
fahri,1,1
mnta,1,1
waaah,1,1
cew,1,1
yeee,1,1
debay,1,1
acha,1,1
momong,1,2
gemulai,1,1
momo,1,2
putri,1,1
keraton,1,1
jawa,1,2
gbu,1,1
